,Unnamed: 0,label,area,max_intensity,mean_intensity,min_intensity,solidity,extent,minor_axis_length,eccentricity,aspect_ratio,roundness_skimage,circularity,median,sum,variance,number_of_pixels_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
0,0,1,1031,6.7,2.4125121241513097,0.0,0.9172597864768685,0.7281073446327684,21.98882192124616,0.931903272776764,2.757047134912609,0.3571712369439772,0.5896893527734451,2.3009766340255737,2487.299999999995,1.715425819027646,0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
3,3,4,51,2.6,1.23921568627451,0.2,0.9807692307692308,0.85,6.114710236363733,0.8281594845157472,1.7841451208985288,0.5455922321037713,0.973583547037986,1.2251953482627869,63.2,0.3096313725490194,10,0.3702916468685555,img01_20220429_ET358_56hpf_1.tif,0.0,2
5,5,6,2241,11.8,4.143418116912093,0.0,0.9203285420944558,0.6127973748974569,37.82912921101714,0.870965290118536,2.0352317066588936,0.4813617381832308,0.6672089295930894,4.273242235183716,9285.39999999999,5.129368489832372,0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
6,6,7,895,8.3,3.069832402234637,0.0,0.965480043149946,0.7402812241521919,27.86709270918408,0.7348052946010113,1.4743215239875582,0.6750958172250102,0.8445864137535779,2.8986328840255737,2747.5000000000023,3.161997175458956,0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
8,8,9,122,4.2,1.3778688524590164,0.2,0.9242424242424242,0.782051282051282,11.70139673611772,0.4994468250106266,1.154275174790669,0.8514827026723281,0.932077420675863,1.2849609851837158,168.10000000000002,0.535125999187102,0,0.0,img01_20220429_ET358_56hpf_1.tif,0.0,2
14,14,4,438,9.0,2.9992389649923896,0.0,0.9563318777292577,0.7324414715719063,21.301246942575705,0.5897332612873618,1.2382396740658603,0.8016129875100114,0.9004317508264797,2.895833373069763,1313.666666666667,3.3069180849239914,0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
16,16,6,182,5.555555555555555,1.9328449328449324,0.0,0.9238578680203046,0.7777777777777778,11.978661856864528,0.7905550336109065,1.632943654296378,0.6056510812005432,0.8076857924485777,1.7708333730697632,351.77777777777777,1.5196450776561292,0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
20,20,10,457,4.777777777777778,1.7345003646973014,0.0,0.9232323232323232,0.7052469135802469,15.931044195331408,0.9022102757593576,2.318590902963279,0.426471072856367,0.6844697728619832,1.5625000596046448,792.6666666666669,1.0294744851701525,0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
21,21,11,72,2.6666666666666665,1.1496913580246912,0.2222222222222222,0.96,0.7272727272727273,8.33646142656932,0.6557744441494436,1.3245789756285562,0.7518365074132948,1.035716232528903,1.0208333730697632,82.77777777777774,0.3860753685349417,0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
30,30,5,2097,5.638888888888889,2.78862660944206,0.3611111111111111,0.9748953974895398,0.7913207547169812,49.72786410020388,0.4045297895841535,1.0934640333114198,0.9030253290426368,0.8750111489809784,2.974446654319763,5847.750000000001,1.058031293088818,0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
31,31,6,1071,2.833333333333333,1.3456271397447868,0.2777777777777778,0.9045608108108107,0.6208695652173913,19.04993764715533,0.965861637079518,3.860132219609547,0.2521785313586707,0.4822658307904779,1.3419596552848816,1441.1666666666677,0.1934696394999651,0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
50,50,25,106,2.4444444444444446,1.0859538784067084,0.4444444444444444,0.9217391304347826,0.7412587412587412,9.916454373264433,0.6992895902719328,1.398917394465517,0.701324494373125,0.8770863958467844,1.0652669668197632,115.11111111111116,0.1560630261888112,0,0.0,img03_20220429_ET358_56hpf_3.tif,0.0,2
55,55,2,1748,4.217391304347826,1.6897821112327132,0.1739130434782608,0.9546695794647734,0.7586805555555556,30.206370317411803,0.9151726508756652,2.48100755443145,0.396276472936208,0.6726415040676632,1.65922212600708,2953.739130434779,0.3675630135590575,0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
67,67,14,97,2.0869565217391304,1.0049305244285074,0.3043478260869565,0.9326923076923076,0.6928571428571428,8.202047519479255,0.8415346167990724,1.8511552961348667,0.5357369278857294,0.8918041228682748,0.963739812374115,97.4782608695652,0.1188120781608299,0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
79,79,7,270,2.9672131147540983,1.266909532483303,0.3934426229508196,0.9246575342465754,0.7105263157894737,16.68406690007767,0.600243831069535,1.250285895648442,0.7900441717978832,0.8574229942655996,1.1348937153816223,342.0655737704916,0.2810778645139846,0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
85,85,13,208,2.622950819672131,1.2813682219419924,0.4262295081967213,0.9369369369369368,0.8,12.53071914719755,0.8115299799127744,1.7114180129058072,0.5758498576914372,0.8521035741452083,1.2818583846092224,266.5245901639344,0.1720986155190379,0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
108,108,1,82,1.9772727272727275,1.0196784922394675,0.4545454545454545,0.942528735632184,0.7454545454545455,9.271567322457038,0.5813591366447382,1.229034107148445,0.8040624636323985,0.997411239597103,0.9621360003948212,83.61363636363635,0.1061723573502951,0,0.0,img08_20220513_ET358_56hpf_4.tif,0.0,2
110,110,3,1126,2.9545454545454546,1.2659252381721298,0.3181818181818182,0.9008,0.6474985623921794,32.66260786088761,0.6899228615032554,1.3814389141983896,0.7041795751120926,0.6327595361865072,1.2111594080924988,1425.4318181818194,0.2253416618143247,0,0.0,img08_20220513_ET358_56hpf_4.tif,0.0,2
112,112,5,2200,2.522727272727273,1.338595041322314,0.3636363636363636,0.9561060408518036,0.7189542483660131,44.5772603539858,0.709928300063578,1.419901996633646,0.6991805071100404,0.8120715394099425,1.346990406513214,2944.9090909090883,0.1308716567089289,0,0.0,img08_20220513_ET358_56hpf_4.tif,2.0,2
125,125,8,81,2.5161290322580645,1.2887295898048587,0.3548387096774194,0.9418604651162792,0.7363636363636363,9.039366439486122,0.6140938293621913,1.2670529077345891,0.7861938698745949,1.0221658721171678,1.2451171875,104.38709677419357,0.2674662131781457,0,0.0,img10_20220513_ET358_56hpf_6.tif,0.0,2
128,128,11,1657,4.112903225806452,2.487472501800767,0.3225806451612903,0.9729888432178508,0.6503139717425431,44.36403681612104,0.4115586683280889,1.097233221531115,0.8903743001585837,0.8575652039078596,2.707125663757324,4121.741935483869,0.8212848464525743,0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
129,129,12,2185,2.161290322580645,1.0404665239536428,0.3387096774193548,0.9333618111917984,0.7108002602472349,51.59332969216697,0.3857845666754197,1.0839063921574743,0.8895920458598895,0.6917015445717412,1.0362588167190552,2273.419354838711,0.0700570981621781,0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
137,137,6,1400,3.8846153846153846,1.5954395604395606,0.1153846153846153,0.9216589861751152,0.6383948928408573,40.191952910098514,0.4635518089028941,1.1285792393561804,0.8663548730349786,0.5360212469732336,1.6282302141189575,2233.6153846153843,0.3539188147312092,0,0.0,img12_20220513_ET358_56hpf_8.tif,2.0,2
138,138,7,2876,8.23076923076923,4.158486680218251,0.1538461538461538,0.9602671118530884,0.8013374198941209,36.52791025384137,0.9345700907636644,2.810733089893131,0.347384257140039,0.6303915978596965,4.654822826385498,11959.807692307688,3.5557721292364497,0,0.0,img12_20220513_ET358_56hpf_8.tif,2.0,2
143,143,1,55,4.833333333333333,1.3727272727272728,0.0,0.9166666666666666,0.7638888888888888,7.812482637968172,0.5462333553418754,1.193840194725632,0.805011869914872,0.9852884032416418,1.3447265625,75.5,0.8332959221848105,8,0.287861544422366,img13_20220513_ET358_56hpf_9.tif,0.0,2
144,144,2,74,3.5,1.054054054054054,0.0,0.8705882352941177,0.6324786324786325,8.685710995447984,0.6521556102835719,1.3191130708313654,0.7177398200803105,0.8572855184422171,1.0458984375,77.99999999999999,0.4506149985602037,0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
146,146,4,51,2.833333333333333,1.1666666666666667,0.0,0.9107142857142856,0.7083333333333334,7.502411012253575,0.5328439927616282,1.1817348762797026,0.8261111485334359,0.9682123483556624,1.1455078125,59.50000000000001,0.4977777777777769,0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
157,157,15,70,2.833333333333333,1.2285714285714289,0.0,0.8974358974358975,0.6481481481481481,7.995961050983755,0.711544457583865,1.423201732601182,0.6882304619732988,0.9170852543182518,1.1455078125,86.00000000000001,0.425258799171842,0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
158,158,16,68,3.0,1.1151960784313726,0.1666666666666666,0.9315068493150684,0.7727272727272727,8.17725523254357,0.6505247806740725,1.316681647988901,0.7468654334770979,0.994436936676639,1.0458984375,75.83333333333333,0.35427641205736,0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
161,161,19,63,2.833333333333333,1.1587301587301588,0.0,0.9,0.7159090909090909,7.902237961341741,0.6473039308318708,1.3119365240472525,0.7463195449016407,0.8253767288864265,1.0458984375,72.99999999999997,0.4206349206349214,0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
164,164,22,152,6.666666666666667,2.319078947368421,0.0,0.9212121212121211,0.6755555555555556,11.725300621353076,0.7095564352659185,1.4191470531546813,0.6989577659246293,0.9010565759281012,2.0419921875,352.5000000000003,2.634637262305865,0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
166,166,24,851,17.333333333333332,4.730121425773599,0.0,0.8827800829875518,0.6818910256410257,21.34822936939885,0.9115076564289568,2.431415218363758,0.4021589115859641,0.6043892112850814,3.8349609375,4025.3333333333367,13.471328233604334,0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
168,168,26,177,3.5,1.184557438794727,0.0,0.8719211822660099,0.6507352941176471,13.74005044161484,0.5904303580662874,1.2390213568413142,0.7775872773910039,0.6969775550621937,1.1455078125,209.6666666666665,0.4742677481024941,0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
169,169,27,435,8.666666666666666,2.1019157088122604,0.0,0.9006211180124224,0.6971153846153846,22.26935737650862,0.4763724128158079,1.1373412209580749,0.8633809193206958,0.712378724336499,1.8427734375,914.3333333333336,2.1890260195043245,0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
170,170,28,317,4.5,1.3301787592008414,0.0,0.9378698224852072,0.8005050505050505,11.485240189981488,0.9514502591344424,3.248836075152801,0.2898902568217552,0.5228741188587872,1.1455078125,421.6666666666667,0.6923247569735633,34,0.3961554546485732,img13_20220513_ET358_56hpf_9.tif,0.0,2
194,194,1,100,3.875,1.41375,0.0,0.9174311926605504,0.7575757575757576,11.005549726116897,0.336051424845584,1.061747363207903,0.932490155586358,0.9620158811036372,1.396484375,141.375,0.770737058080808,2,0.0541324579768516,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
195,195,2,52,2.75,1.1298076923076923,0.125,0.9454545454545454,0.8125,7.416901787238583,0.5599095632313331,1.2069223341943685,0.8262467377224537,1.089941049746501,0.990234375,58.75,0.3467901583710407,0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
196,196,3,61,2.875,1.1147540983606556,0.25,0.953125,0.7530864197530864,8.70904879669074,0.2636211151038338,1.0366708798560786,0.9528328184160112,1.0730236807041484,0.990234375,68.0,0.4433828551912569,0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
198,198,5,129,4.5,1.180232558139535,0.0,0.9280575539568344,0.671875,11.092853267046385,0.6875200653529995,1.3770967701682353,0.7038569008131003,0.8921164334111217,1.142578125,152.25,0.522926507994186,0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
199,199,6,124,4.125,1.4868951612903225,0.0,0.9393939393939394,0.7337278106508875,11.714048030796796,0.5074134626889937,1.16049302925194,0.8543439153319097,0.95542408658357,1.396484375,184.375,0.7624030864804615,0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
202,202,9,98,2.875,1.031887755102041,0.0,0.8672566371681416,0.6363636363636364,9.92429068001922,0.6500474416430072,1.3159736640906834,0.7315480312913168,0.8253622543181157,0.990234375,101.125,0.2906930491268673,0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,2.0,2
212,212,4,514,2.823529411764706,1.2325474937056533,0.2352941176470588,0.9097345132743364,0.6763157894736842,16.977047200837013,0.9042435785007074,2.3418269319868315,0.4140371713498648,0.6511363257094458,1.1865234375,633.5294117647054,0.2043402967646172,0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,0.0,2
214,214,6,2906,7.205882352941177,3.688433666653173,0.2058823529411764,0.9534120734908136,0.6110176619007569,42.0458389386802,0.8842122059838217,2.140936092352677,0.4566172104752151,0.6813093299484254,4.1455078125,10718.588235294112,2.7560176130536163,0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,2.0,2
216,216,8,84,2.0,1.0938375350140055,0.4411764705882353,0.9438202247191012,0.7,7.572138990928813,0.8446198128945911,1.8678790255883253,0.5346317661942732,0.9055403018804472,1.0693359375,91.88235294117652,0.1193662440170945,0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,0.0,2
234,234,4,58,2.555555555555556,1.0325670498084292,0.2222222222222222,0.9830508474576272,0.7160493827160493,7.472418368069886,0.6788362647610053,1.361860359920665,0.7131002615135418,1.0019772043028805,0.9785155951976776,59.88888888888889,0.2785395801124777,0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
239,239,9,54,2.333333333333333,1.0987654320987654,0.2222222222222222,0.9310344827586208,0.6666666666666666,7.571111977972385,0.5707843505065909,1.2178784419863982,0.8086799088786796,1.0389771515919282,1.1234809160232544,59.33333333333333,0.2523487848435439,0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
241,241,11,2926,9.333333333333334,2.6652996126680337,0.0,0.9000307597662258,0.6416666666666667,41.95284662681793,0.8872818902110235,2.168127235904422,0.4502897297076939,0.4910906253885668,2.3556857109069824,7798.666666666675,2.5885134834841863,0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
242,242,12,310,5.555555555555555,1.5881720430107529,0.2222222222222222,0.9226190476190476,0.6126482213438735,14.702320686168257,0.8426475549392448,1.8571291828823075,0.5294388429965354,0.7908574659131662,1.4134114384651184,492.33333333333337,0.799484082335458,0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
